                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0181,                 3.0066,                 1.1289,                0.92618,                0.36994,                0.41193,                0.34309,                0.79892,                 1.8007,                0.97576,              0.0033282,              0.0033282,              0.0033282
                      2,                0.90702,                 1.1479,                 1.0224,                0.98152,                0.07021,                0.20588,                0.12634,                 1.6532,                 3.2019,                  1.426,              0.0065955,              0.0065955,              0.0065955
                      3,                0.92777,                0.86329,                 1.0311,                0.95482,                0.41404,                0.48707,                0.34669,                 1.0435,                0.83087,                 1.1107,              0.0097969,              0.0097969,              0.0097969
                      4,                0.90621,                0.75623,                 1.0286,                0.96398,                 0.4568,                0.52261,                0.38968,                0.84946,                0.61382,                0.97103,               0.009703,               0.009703,               0.009703
                      5,                 0.8553,                0.66032,                 1.0053,                0.64555,                0.57422,                0.59404,                0.44454,                0.66827,                0.46981,                0.90222,               0.009703,               0.009703,               0.009703
                      6,                0.80329,                0.61156,                0.98457,                0.96823,                0.39784,                0.48559,                0.36139,                0.93905,                0.70956,                 1.0376,               0.009604,               0.009604,               0.009604
                      7,                0.79217,                0.58723,                0.98296,                0.08447,                0.27408,                0.15068,                0.09264,                  1.991,                 3.6743,                 1.5484,               0.009505,               0.009505,               0.009505
                      8,                0.76778,                0.55657,                0.97586,                0.65055,                0.59856,                0.61132,                0.45735,                0.67861,                0.42829,                 0.9111,               0.009406,               0.009406,               0.009406
                      9,                0.75076,                0.53647,                0.96805,                0.67084,                0.57758,                0.60465,                0.44042,                0.67606,                0.46265,                0.90452,               0.009307,               0.009307,               0.009307
                     10,                0.73605,                0.51545,                0.96065,                0.64452,                0.48097,                0.51395,                0.36473,                 1.0368,                0.60658,                 1.0538,               0.009208,               0.009208,               0.009208
                     11,                0.70573,                0.49792,                0.94809,                0.92684,                0.37084,                 0.4512,                0.28923,                 1.3209,                 1.0277,                 1.2217,               0.009109,               0.009109,               0.009109
                     12,                0.71271,                0.49065,                 0.9456,                0.61054,                0.57897,                0.58461,                0.45774,                0.63948,                0.38405,                 0.8976,                0.00901,                0.00901,                0.00901
                     13,                0.70259,                0.48357,                0.94514,                0.96057,                0.38479,                0.46624,                0.32859,                 1.1309,                0.88275,                 1.1482,               0.008911,               0.008911,               0.008911
                     14,                0.69811,                 0.4732,                0.94218,                0.70651,                0.58818,                0.62124,                0.46256,                0.64903,                0.39347,                 0.8932,               0.008812,               0.008812,               0.008812
                     15,                0.69333,                 0.4678,                0.93794,                0.75825,                0.51411,                0.58541,                0.42422,                0.80493,                0.48932,                0.96288,               0.008713,               0.008713,               0.008713
                     16,                0.67923,                0.45539,                0.93531,                0.71717,                0.66675,                  0.686,                0.50215,                0.57675,                0.33488,                0.86906,               0.008614,               0.008614,               0.008614
                     17,                0.68187,                0.45384,                0.93462,                0.71717,                0.66675,                  0.686,                0.50215,                  2.683,                 6.3366,                 1.9749,               0.008515,               0.008515,               0.008515
                     18,                 0.6779,                0.44978,                0.93312,                0.73564,                0.69039,                0.69899,                0.51074,                0.55334,                0.32516,                0.86124,               0.008416,               0.008416,               0.008416
                     19,                0.66601,                0.44459,                0.92955,                0.69895,                0.66928,                0.67515,                0.50047,                0.57411,                0.32864,                0.86801,               0.008317,               0.008317,               0.008317
                     20,                0.65552,                0.43189,                0.92716,                0.69379,                0.54603,                0.58872,                0.44395,                0.67533,                 0.4982,                0.91273,               0.008218,               0.008218,               0.008218
                     21,                0.64493,                 0.4321,                0.92423,                0.73738,                0.65881,                0.67536,                 0.4998,                0.57058,                0.32716,                0.86911,               0.008119,               0.008119,               0.008119
                     22,                0.65511,                0.42624,                0.92737,                0.69954,                0.58236,                0.60294,                0.46468,                0.62362,                0.36626,                0.88409,                0.00802,                0.00802,                0.00802
                     23,                 0.6498,                0.42803,                0.92351,                0.79244,                 0.6804,                 0.7092,                0.52273,                0.53391,                0.30048,                0.85236,               0.007921,               0.007921,               0.007921
                     24,                0.64514,                0.42486,                0.92221,                0.76205,                0.67983,                0.67188,                 0.4955,                0.58541,                0.32271,                0.86729,               0.007822,               0.007822,               0.007822
