                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45204,                0.23893,                0.83812,                  0.786,                0.74238,                0.76096,                0.55253,                0.54422,                0.27077,                0.85227,              0.0033282,              0.0033282,              0.0033282
                      2,                0.49193,                0.27128,                0.85283,                0.10722,                0.04283,                0.06496,                0.02654,                 2.9195,                 6.3116,                  2.271,              0.0065955,              0.0065955,              0.0065955
                      3,                0.52708,                0.30975,                0.86323,                0.96882,                0.33514,                0.45111,                 0.2984,                 1.3318,                 1.4215,                 1.2411,              0.0097969,              0.0097969,              0.0097969
                      4,                0.56117,                0.34614,                 0.8735,                0.67881,                0.57134,                0.60427,                0.45956,                0.65515,                0.40813,                0.89894,               0.009703,               0.009703,               0.009703
                      5,                0.58198,                0.36078,                0.88816,                0.85748,                0.24563,                0.30485,                0.20565,                 1.5053,                 1.9074,                 1.3351,               0.009703,               0.009703,               0.009703
                      6,                0.56955,                0.35559,                0.87723,                0.68291,                0.65984,                0.66088,                0.48418,                0.64594,                0.39934,                0.90013,               0.009604,               0.009604,               0.009604
                      7,                0.57344,                0.35222,                0.88227,                0.68291,                0.65984,                0.66088,                0.48418,                 2.7913,                 7.4421,                 2.0229,               0.009505,               0.009505,               0.009505
                      8,                0.56825,                0.34618,                0.88246,                0.78915,                0.37625,                0.46228,                0.35118,                0.98873,                  1.226,                 1.0735,               0.009406,               0.009406,               0.009406
                      9,                0.56332,                0.34409,                0.87731,                0.68242,                0.63415,                0.66258,                0.48204,                0.63112,                0.36183,                0.88675,               0.009307,               0.009307,               0.009307
                     10,                0.55783,                0.34221,                0.87532,                0.69266,                0.67362,                0.67354,                0.49132,                0.57445,                0.32394,                0.86476,               0.009208,               0.009208,               0.009208
                     11,                 0.5577,                0.34164,                0.87441,                0.68572,                0.64548,                0.65695,                0.48541,                0.60203,                0.33402,                0.87107,               0.009109,               0.009109,               0.009109
                     12,                 0.5521,                0.33918,                0.87275,                0.64621,                0.57369,                0.58077,                0.46187,                0.64053,                0.40082,                0.90187,                0.00901,                0.00901,                0.00901
                     13,                0.55323,                0.33297,                0.87508,                0.67042,                0.68339,                0.65144,                0.47875,                0.69698,                0.35387,                0.91477,               0.008911,               0.008911,               0.008911
                     14,                0.54705,                0.32838,                0.87363,                0.04446,                0.18925,                0.04573,                0.02884,                 2.1539,                 4.1803,                 1.7058,               0.008812,               0.008812,               0.008812
                     15,                0.55037,                0.32772,                0.87457,                0.02496,                0.08916,                0.01712,                0.00832,                 2.6956,                  4.569,                 1.8859,               0.008713,               0.008713,               0.008713
                     16,                0.54277,                0.32839,                0.86966,                0.94482,                0.34659,                0.41133,                 0.2784,                 1.2747,                 1.2328,                 1.2153,               0.008614,               0.008614,               0.008614
                     17,                0.54628,                0.32749,                0.86887,                0.94482,                0.34659,                0.41133,                 0.2784,                  2.762,                 7.3159,                 2.0655,               0.008515,               0.008515,               0.008515
                     18,                0.54272,                0.31863,                0.87186,                0.67887,                0.64301,                0.66096,                0.49186,                0.62137,                0.36782,                0.88945,               0.008416,               0.008416,               0.008416
                     19,                0.54164,                0.31923,                0.86903,                0.01226,                0.05245,                0.02126,                0.01308,                 2.1407,                 5.8142,                 1.5684,               0.008317,               0.008317,               0.008317
                     20,                0.53593,                0.32048,                0.86803,                0.02544,                0.01136,                0.01592,                0.01116,                 2.0431,                 7.2038,                 1.5498,               0.008218,               0.008218,               0.008218
                     21,                0.53495,                0.31558,                0.86246,                0.65951,                0.54731,                0.58708,                0.44416,                0.75576,                0.53244,                0.94616,               0.008119,               0.008119,               0.008119
                     22,                0.54192,                 0.3159,                0.86818,                 0.9817,                0.24563,                 0.3813,                 0.2497,                  1.383,                 1.8277,                 1.2493,                0.00802,                0.00802,                0.00802
                     23,                 0.5293,                0.31564,                0.86423,                0.43959,                0.29283,                0.38722,                 0.3025,                 1.0826,                 2.3551,                 1.1193,               0.007921,               0.007921,               0.007921
                     24,                0.53474,                0.31165,                0.86436,                0.43959,                0.29283,                0.38722,                 0.3025,                 2.9442,                 7.6652,                 2.1933,               0.007822,               0.007822,               0.007822
                     25,                 0.5276,                0.31252,                0.86665,                0.70338,                0.61432,                0.64611,                0.46693,                0.66462,                0.36597,                 0.9087,               0.007723,               0.007723,               0.007723
                     26,                0.52615,                 0.3095,                0.86402,                0.08491,                0.00393,                0.04486,                0.01691,                 2.6249,                 6.8142,                 1.9326,               0.007624,               0.007624,               0.007624
                     27,                0.52023,                0.30624,                0.85872,                0.73677,                0.62974,                0.66187,                0.47789,                0.67486,                0.41196,                0.92345,               0.007525,               0.007525,               0.007525
                     28,                0.52241,                0.30659,                0.85742,                 0.7405,                0.71144,                0.73013,                 0.5255,                0.52518,                0.27137,                0.85102,               0.007426,               0.007426,               0.007426
                     29,                0.52236,                0.30262,                0.85416,                0.72731,                0.71936,                0.72552,                0.53216,                0.47754,                0.25942,                 0.8367,               0.007327,               0.007327,               0.007327
                     30,                0.53136,                0.30876,                0.86594,                0.72692,                0.71511,                0.70572,                0.52441,                0.50441,                0.26192,                0.84445,               0.007228,               0.007228,               0.007228
                     31,                0.51955,                 0.3027,                0.85737,                0.76239,                0.70922,                0.73126,                0.53014,                 0.4999,                0.26324,                0.84805,               0.007129,               0.007129,               0.007129
                     32,                0.51192,                0.29897,                0.84987,                0.72718,                0.70378,                0.71567,                0.53232,                0.47366,                0.24883,                0.83727,                0.00703,                0.00703,                0.00703
                     33,                0.50843,                0.29378,                0.85368,                0.76381,                0.69921,                0.72756,                0.53975,                0.48723,                0.25743,                0.83942,               0.006931,               0.006931,               0.006931
                     34,                0.51204,                0.29595,                0.85557,                0.68728,                0.70465,                0.69577,                0.50674,                 0.5607,                0.27768,                0.85919,               0.006832,               0.006832,               0.006832
                     35,                 0.5148,                0.30019,                0.85328,                 0.2956,                0.11757,                0.21709,                0.16656,                  1.409,                 5.7668,                 1.2419,               0.006733,               0.006733,               0.006733
                     36,                0.50268,                0.29343,                0.84974,                0.75652,                0.70759,                0.72768,                0.55044,                0.47695,                0.24792,                0.83791,               0.006634,               0.006634,               0.006634
                     37,                0.50635,                0.28854,                0.85282,                0.79191,                0.69452,                0.73752,                0.53792,                0.49468,                0.24898,                0.84195,               0.006535,               0.006535,               0.006535
                     38,                0.49848,                0.28876,                 0.8501,                0.76952,                0.71173,                0.73455,                0.54048,                0.48939,                 0.2523,                  0.845,               0.006436,               0.006436,               0.006436
                     39,                0.50268,                0.28822,                0.85548,                0.79271,                0.71849,                0.73234,                0.53836,                0.50855,                0.25378,                0.84599,               0.006337,               0.006337,               0.006337
                     40,                0.49802,                 0.2856,                0.84569,                0.74174,                0.72818,                0.73293,                0.54947,                0.44878,                0.23836,                0.83031,               0.006238,               0.006238,               0.006238
                     41,                0.50306,                0.28812,                0.84727,                0.74833,                0.71855,                0.74975,                0.55684,                0.45988,                0.23626,                0.83284,               0.006139,               0.006139,               0.006139
                     42,                0.49412,                0.28248,                0.85086,                0.76562,                0.71085,                0.73888,                0.54248,                0.45661,                0.23267,                0.83163,                0.00604,                0.00604,                0.00604
                     43,                0.49744,                0.28541,                0.84685,                0.77306,                0.71936,                0.74268,                0.55244,                0.45754,                0.23911,                0.83088,               0.005941,               0.005941,               0.005941
                     44,                0.48883,                0.28064,                0.84458,                0.78672,                0.69496,                0.74153,                0.53964,                0.48214,                0.24112,                0.83669,               0.005842,               0.005842,               0.005842
                     45,                0.49196,                0.27972,                0.84923,                0.78047,                0.70465,                0.74481,                0.55339,                0.46111,                0.23164,                0.83293,               0.005743,               0.005743,               0.005743
                     46,                0.48401,                 0.2768,                0.84242,                 0.7713,                0.74333,                0.75547,                0.54732,                0.46608,                0.23724,                0.83225,               0.005644,               0.005644,               0.005644
                     47,                0.48313,                0.27693,                0.84546,                0.81388,                0.71527,                0.76201,                0.54512,                0.47074,                0.23496,                0.83627,               0.005545,               0.005545,               0.005545
                     48,                0.48516,                0.27918,                0.84675,                0.78358,                0.72564,                0.74818,                 0.5486,                0.45703,                0.23523,                0.83164,               0.005446,               0.005446,               0.005446
                     49,                0.48291,                0.27306,                0.84222,                0.73304,                0.74877,                0.74909,                0.55486,                 0.4532,                0.22747,                0.83004,               0.005347,               0.005347,               0.005347
                     50,                0.47771,                0.27312,                0.84026,                0.75903,                0.73494,                0.75024,                0.54897,                0.44971,                0.22605,                0.82845,               0.005248,               0.005248,               0.005248
                     51,                0.48179,                0.26973,                0.84353,                0.80155,                0.73248,                0.77684,                0.55535,                0.45711,                0.22582,                0.83044,               0.005149,               0.005149,               0.005149
                     52,                0.47849,                0.26995,                0.84316,                0.79389,                0.71686,                 0.7519,                0.55286,                0.45156,                0.22734,                0.82932,                0.00505,                0.00505,                0.00505
