                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74479,                0.65401,                0.97046,                0.80477,                0.69854,                0.72524,                0.51186,                0.57294,                0.49873,                0.89525,             0.00055427,             0.00055427,             0.00055427
                      2,                0.70869,                0.58645,                0.95193,                0.74087,                0.63829,                0.68472,                0.47125,                0.70334,                0.54501,                0.92284,               0.001088,               0.001088,               0.001088
                      3,                0.72008,                0.59261,                0.95095,                0.77059,                0.67116,                0.68903,                0.45222,                0.75064,                0.56112,                0.94161,              0.0015996,              0.0015996,              0.0015996
                      4,                0.73151,                0.61334,                0.96246,                0.78818,                0.67102,                0.72508,                0.49118,                0.67323,                0.51062,                0.91094,               0.001568,               0.001568,               0.001568
                      5,                0.71628,                0.60235,                0.95561,                0.80069,                0.66262,                0.71696,                0.48856,                0.68907,                0.55017,                0.92683,               0.001568,               0.001568,               0.001568
                      6,                0.71544,                0.60953,                0.95848,                0.84242,                0.67951,                0.76673,                0.51426,                0.64092,                0.51592,                0.90945,               0.001535,               0.001535,               0.001535
                      7,                0.70078,                0.58286,                 0.9518,                0.79009,                0.64463,                0.70671,                0.46439,                0.77708,                0.61964,                  0.962,               0.001502,               0.001502,               0.001502
                      8,                0.69825,                0.59088,                 0.9528,                0.79037,                 0.6625,                0.72824,                0.49512,                0.67586,                 0.5592,                0.92367,               0.001469,               0.001469,               0.001469
                      9,                0.69812,                0.57471,                0.95367,                0.81749,                0.69863,                 0.7739,                0.52701,                0.60864,                0.50835,                0.89429,               0.001436,               0.001436,               0.001436
                     10,                 0.6962,                0.58692,                0.95058,                0.79364,                0.69484,                0.76101,                0.51776,                0.61542,                0.50577,                0.90254,              0.0014029,              0.0014029,              0.0014029
                     11,                 0.6993,                0.57458,                0.95499,                0.81028,                0.67842,                0.75766,                0.52256,                0.62261,                0.50261,                0.90547,              0.0013699,              0.0013699,              0.0013699
                     12,                0.68168,                0.55771,                0.94615,                0.80086,                0.68184,                0.75514,                 0.4947,                0.71823,                0.54079,                0.92958,              0.0013369,              0.0013369,              0.0013369
                     13,                0.68614,                0.56066,                0.94867,                0.79959,                0.67885,                0.75118,                0.51273,                0.67495,                0.54845,                0.91594,              0.0013039,              0.0013039,              0.0013039
                     14,                  0.686,                0.55471,                 0.9459,                0.83561,                0.70295,                0.78554,                0.53187,                 0.6167,                0.50582,                0.89927,              0.0012709,              0.0012709,              0.0012709
                     15,                0.68391,                0.55957,                  0.948,                0.82715,                0.70713,                0.79121,                0.54492,                0.59847,                0.48968,                0.89459,              0.0012379,              0.0012379,              0.0012379
                     16,                0.67579,                0.55093,                0.94096,                0.83377,                0.71331,                0.78371,                0.53201,                0.61914,                0.50919,                0.90119,              0.0012049,              0.0012049,              0.0012049
                     17,                0.67061,                0.53623,                 0.9379,                0.81742,                0.69758,                0.77547,                0.52918,                0.60919,                0.50392,                0.89937,              0.0011719,              0.0011719,              0.0011719
                     18,                0.66215,                0.53752,                 0.9381,                0.82438,                0.70461,                0.78249,                0.52996,                0.62122,                0.51308,                0.90483,              0.0011389,              0.0011389,              0.0011389
                     19,                0.67148,                0.52903,                0.94572,                0.82106,                0.69357,                0.77269,                0.51733,                0.67582,                0.53733,                0.92523,              0.0011059,              0.0011059,              0.0011059
                     20,                0.66325,                0.52455,                0.93871,                0.82149,                0.70985,                0.78673,                0.54217,                0.59771,                0.49513,                0.89685,              0.0010729,              0.0010729,              0.0010729
                     21,                0.66634,                0.53023,                0.94415,                0.81425,                0.70113,                0.77731,                0.52876,                0.65518,                0.49576,                0.90257,              0.0010399,              0.0010399,              0.0010399
                     22,                0.65114,                0.51462,                0.93299,                0.82416,                0.70717,                 0.7959,                0.54928,                0.60896,                0.48565,                0.89594,              0.0010069,              0.0010069,              0.0010069
                     23,                0.65163,                0.51822,                0.93095,                0.83284,                0.69661,                0.77749,                0.52914,                0.64263,                0.49947,                0.91116,             0.00097386,             0.00097386,             0.00097386
                     24,                0.64673,                0.50881,                0.93347,                0.82904,                0.70228,                0.78525,                 0.5436,                0.59292,                0.49916,                0.89165,             0.00094085,             0.00094085,             0.00094085
                     25,                0.65219,                0.50703,                0.93266,                0.82527,                0.69934,                0.77779,                0.52407,                0.64887,                0.51015,                0.90285,             0.00090785,             0.00090785,             0.00090785
                     26,                0.64661,                0.49842,                0.92938,                0.83102,                0.70918,                0.79881,                0.55102,                0.59193,                0.50044,                0.89241,             0.00087484,             0.00087484,             0.00087484
                     27,                0.64768,                 0.5084,                0.92841,                0.82595,                0.72804,                0.80412,                0.54929,                0.61167,                0.49125,                0.89139,             0.00084184,             0.00084184,             0.00084184
                     28,                0.63122,                0.48484,                0.92152,                0.84673,                0.72681,                0.80503,                0.54641,                 0.6044,                0.47847,                0.88776,             0.00080883,             0.00080883,             0.00080883
                     29,                 0.6439,                0.50094,                0.92882,                0.81651,                0.73366,                0.80275,                0.55775,                0.58852,                0.49139,                0.89187,             0.00077582,             0.00077582,             0.00077582
                     30,                0.63093,                0.48854,                0.92394,                0.83006,                0.72488,                0.80976,                0.55291,                0.59845,                0.47242,                0.89067,             0.00074282,             0.00074282,             0.00074282
                     31,                0.63166,                0.49114,                0.92581,                 0.8277,                0.71863,                0.80205,                0.55687,                0.61248,                0.49299,                 0.8928,             0.00070981,             0.00070981,             0.00070981
                     32,                0.62664,                0.47484,                0.92227,                0.84158,                  0.731,                 0.8103,                 0.5577,                0.59854,                 0.4854,                0.89004,              0.0006768,              0.0006768,              0.0006768
                     33,                0.63396,                0.48074,                0.92837,                0.84117,                0.73543,                 0.8154,                0.56003,                 0.5931,                0.48106,                0.88953,              0.0006438,              0.0006438,              0.0006438
                     34,                0.63218,                0.47928,                0.92373,                0.82072,                0.72385,                0.81067,                0.56159,                0.59179,                0.47641,                0.88321,             0.00061079,             0.00061079,             0.00061079
                     35,                0.62598,                0.47508,                0.92361,                0.84272,                0.72096,                0.82265,                0.56811,                0.58058,                0.46672,                0.88391,             0.00057778,             0.00057778,             0.00057778
                     36,                0.62764,                0.47464,                0.92131,                0.84109,                0.72802,                0.81489,                0.56157,                0.60062,                  0.462,                0.88828,             0.00054478,             0.00054478,             0.00054478
                     37,                0.62673,                0.47524,                0.92524,                0.83398,                0.74273,                0.82414,                0.57046,                0.58366,                0.45662,                0.88337,             0.00051177,             0.00051177,             0.00051177
                     38,                 0.6216,                0.46794,                0.91924,                 0.8388,                0.73681,                0.82498,                0.57177,                  0.583,                0.46145,                0.88358,             0.00047876,             0.00047876,             0.00047876
                     39,                0.61603,                0.46522,                0.91889,                0.82717,                0.73471,                0.81522,                0.56832,                0.58398,                0.46267,                0.88095,             0.00044576,             0.00044576,             0.00044576
                     40,                0.61392,                0.44684,                0.91267,                0.85622,                0.72399,                 0.8198,                0.56928,                0.60208,                0.47308,                0.89085,             0.00041275,             0.00041275,             0.00041275
                     41,                0.56985,                0.45651,                0.88336,                0.84149,                0.74831,                0.82521,                0.57578,                 0.5884,                0.43488,                0.88115,             0.00037974,             0.00037974,             0.00037974
                     42,                0.56937,                0.44441,                0.88724,                0.86274,                0.74132,                0.82945,                0.58441,                0.58019,                0.42076,                0.87572,             0.00034674,             0.00034674,             0.00034674
                     43,                0.56005,                0.43486,                0.88041,                0.86679,                 0.7435,                0.82852,                0.58499,                0.57335,                0.42221,                0.87503,             0.00031373,             0.00031373,             0.00031373
                     44,                0.55175,                0.42571,                0.87717,                 0.8469,                0.76609,                0.84313,                0.58883,                0.57407,                0.40274,                 0.8748,             0.00028072,             0.00028072,             0.00028072
                     45,                0.55232,                0.42208,                0.87709,                0.86438,                0.77277,                0.84744,                0.58897,                0.57038,                 0.4114,                0.87303,             0.00024772,             0.00024772,             0.00024772
                     46,                0.54479,                0.41446,                 0.8716,                0.87087,                0.77273,                0.84914,                 0.5904,                0.57175,                0.40212,                0.87368,             0.00021471,             0.00021471,             0.00021471
                     47,                0.54154,                0.40974,                0.87238,                0.85706,                0.77633,                 0.8471,                0.58983,                0.57568,                0.40675,                0.87386,              0.0001817,              0.0001817,              0.0001817
                     48,                0.54063,                 0.4062,                0.87567,                0.87236,                0.75665,                0.84708,                 0.5942,                0.56801,                0.39874,                0.87227,              0.0001487,              0.0001487,              0.0001487
                     49,                0.53477,                0.40313,                0.87311,                 0.8628,                0.77753,                0.85359,                0.59585,                0.56773,                0.39695,                0.87199,             0.00011569,             0.00011569,             0.00011569
                     50,                0.53619,                0.40334,                0.87072,                0.85916,                0.78076,                0.85641,                0.59748,                0.56633,                0.39622,                0.87155,             8.2683e-05,             8.2683e-05,             8.2683e-05
