                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49193,                0.32397,                0.84317,                0.92609,                0.90785,                0.95764,                0.72598,                0.50856,                0.30678,                0.83262,             0.00055427,             0.00055427,             0.00055427
                      2,                0.51904,                0.35294,                0.85209,                0.89702,                0.86318,                0.92606,                0.65625,                0.62294,                 0.3649,                 0.8693,               0.001088,               0.001088,               0.001088
                      3,                 0.5514,                0.37315,                0.85964,                0.83734,                0.72504,                0.81571,                0.54809,                0.77541,                0.49286,                0.93105,              0.0015996,              0.0015996,              0.0015996
                      4,                0.56163,                0.38615,                0.86554,                0.89263,                  0.834,                0.91208,                0.65566,                0.63493,                0.38941,                0.88673,               0.001568,               0.001568,               0.001568
                      5,                0.57233,                0.38666,                0.86909,                 0.7571,                0.65896,                0.71716,                0.46423,                0.93621,                0.58918,                 1.0166,               0.001568,               0.001568,               0.001568
                      6,                0.56811,                0.38517,                0.87312,                0.92236,                 0.8828,                0.94775,                0.70467,                0.53102,                0.33692,                0.84599,               0.001535,               0.001535,               0.001535
                      7,                0.56715,                0.38421,                0.86939,                0.90767,                0.86433,                0.93143,                0.66543,                0.58297,                0.36016,                 0.8643,               0.001502,               0.001502,               0.001502
                      8,                0.55956,                0.38683,                0.86336,                0.90325,                0.87968,                0.93851,                0.68608,                0.55402,                0.35989,                0.85131,               0.001469,               0.001469,               0.001469
                      9,                0.56129,                0.38072,                0.86392,                0.92486,                0.89514,                 0.9478,                0.70537,                0.51953,                 0.3427,                0.84868,               0.001436,               0.001436,               0.001436
                     10,                 0.5542,                0.37165,                0.86208,                0.90789,                0.88432,                0.94075,                0.71125,                0.53353,                0.35092,                0.84861,              0.0014029,              0.0014029,              0.0014029
                     11,                0.55587,                0.37424,                0.86508,                0.91412,                 0.8752,                0.94126,                0.69892,                0.54887,                0.35068,                0.85484,              0.0013699,              0.0013699,              0.0013699
                     12,                0.55336,                0.37145,                0.86076,                0.91661,                  0.864,                0.93576,                0.67528,                0.57597,                0.36513,                0.85443,              0.0013369,              0.0013369,              0.0013369
                     13,                0.54973,                 0.3645,                0.86799,                0.89113,                0.85415,                0.92842,                0.67056,                0.58967,                0.37086,                0.86214,              0.0013039,              0.0013039,              0.0013039
                     14,                0.54493,                0.36337,                0.85719,                0.89586,                0.87786,                0.93433,                0.69973,                0.51966,                0.34025,                0.84564,              0.0012709,              0.0012709,              0.0012709
                     15,                0.54303,                0.36721,                0.85842,                0.88796,                0.86524,                0.91948,                 0.6595,                0.59641,                0.37777,                 0.8704,              0.0012379,              0.0012379,              0.0012379
                     16,                0.53754,                0.35674,                0.85364,                0.89247,                0.88517,                0.93983,                0.69338,                0.53682,                0.35748,                0.84476,              0.0012049,              0.0012049,              0.0012049
                     17,                  0.535,                0.35445,                0.85685,                0.89826,                0.87428,                0.93714,                0.70094,                0.53373,                0.34575,                0.84767,              0.0011719,              0.0011719,              0.0011719
                     18,                0.53506,                0.35366,                0.85588,                0.89302,                0.87202,                0.93406,                0.67939,                0.58398,                0.36354,                0.86033,              0.0011389,              0.0011389,              0.0011389
                     19,                0.53152,                0.35108,                0.85473,                0.90105,                0.88344,                0.94364,                0.71443,                0.51793,                0.33789,                0.84443,              0.0011059,              0.0011059,              0.0011059
                     20,                 0.5282,                  0.348,                0.85152,                0.90899,                0.89651,                0.95002,                0.72823,                0.49972,                0.33491,                0.83962,              0.0010729,              0.0010729,              0.0010729
                     21,                0.52697,                0.34792,                0.85185,                0.90302,                0.89041,                0.94947,                0.72325,                0.50392,                0.33306,                0.84359,              0.0010399,              0.0010399,              0.0010399
                     22,                0.52134,                0.33991,                0.85074,                 0.8995,                0.88543,                 0.9403,                0.70075,                 0.5392,                0.34711,                0.84583,              0.0010069,              0.0010069,              0.0010069
                     23,                0.51264,                0.33791,                0.84514,                0.89599,                0.81488,                0.89204,                0.64088,                0.61386,                 0.3834,                0.87844,             0.00097386,             0.00097386,             0.00097386
                     24,                0.51609,                0.33121,                0.84888,                0.90855,                0.88459,                0.94547,                0.71169,                0.53336,                0.34112,                0.84928,             0.00094085,             0.00094085,             0.00094085
                     25,                0.51046,                0.33521,                0.84643,                0.91313,                0.89311,                0.94669,                0.71655,                0.51858,                0.33701,                0.84469,             0.00090785,             0.00090785,             0.00090785
                     26,                0.50546,                0.32839,                0.84011,                0.91099,                0.89883,                0.95018,                0.72392,                0.50503,                0.33379,                0.83975,             0.00087484,             0.00087484,             0.00087484
                     27,                0.50273,                 0.3291,                0.84046,                0.90891,                0.88683,                0.94953,                0.72008,                0.50703,                 0.3427,                0.84499,             0.00084184,             0.00084184,             0.00084184
                     28,                0.49909,                0.32512,                0.84734,                0.90774,                 0.8895,                0.94271,                0.71118,                0.53535,                 0.3485,                0.85058,             0.00080883,             0.00080883,             0.00080883
                     29,                0.49448,                 0.3185,                0.84167,                0.90873,                0.88299,                0.94214,                0.70368,                0.55219,                0.35641,                0.85416,             0.00077582,             0.00077582,             0.00077582
                     30,                  0.502,                0.32012,                0.84155,                0.90104,                 0.9011,                0.94931,                0.72277,                0.50579,                 0.3346,                0.84452,             0.00074282,             0.00074282,             0.00074282
                     31,                0.48903,                0.31809,                0.84061,                0.91256,                0.88994,                0.94993,                0.71291,                 0.5342,                0.35104,                0.85328,             0.00070981,             0.00070981,             0.00070981
                     32,                0.48741,                0.31347,                0.84015,                0.90539,                0.90315,                 0.9515,                0.72329,                0.51642,                0.34383,                0.84532,              0.0006768,              0.0006768,              0.0006768
                     33,                0.48357,                0.30648,                0.83552,                0.91065,                0.89161,                0.95291,                0.70559,                0.54678,                0.34023,                0.85675,              0.0006438,              0.0006438,              0.0006438
                     34,                0.47957,                0.30889,                0.83369,                0.91651,                0.90105,                0.95404,                0.72131,                0.51428,                0.33062,                0.84432,             0.00061079,             0.00061079,             0.00061079
                     35,                0.47968,                0.31091,                0.83719,                0.91372,                0.89805,                0.95396,                0.74063,                0.49627,                0.32798,                 0.8412,             0.00057778,             0.00057778,             0.00057778
                     36,                0.47402,                0.30684,                0.83646,                0.90831,                0.90128,                0.95261,                0.73097,                0.50697,                0.33498,                0.84519,             0.00054478,             0.00054478,             0.00054478
                     37,                0.47171,                0.30437,                0.83124,                0.90894,                0.90407,                0.95615,                0.73713,                0.50295,                0.32922,                0.84393,             0.00051177,             0.00051177,             0.00051177
                     38,                0.46287,                0.29566,                 0.8295,                0.91217,                0.90433,                 0.9569,                0.74413,                0.48724,                0.33358,                 0.8391,             0.00047876,             0.00047876,             0.00047876
                     39,                0.46012,                0.29865,                0.82972,                0.90591,                0.91103,                0.95862,                 0.7507,                0.48188,                0.32396,                0.83939,             0.00044576,             0.00044576,             0.00044576
                     40,                0.45707,                0.29484,                0.82633,                0.90609,                0.91421,                0.95901,                0.74924,                0.47843,                0.32816,                0.83692,             0.00041275,             0.00041275,             0.00041275
                     41,                0.45445,                0.29119,                0.82921,                0.92714,                0.89694,                0.95731,                0.75204,                0.47369,                  0.327,                0.83537,             0.00037974,             0.00037974,             0.00037974
                     42,                0.45688,                0.29213,                0.82933,                0.93245,                 0.8961,                0.95935,                0.74652,                 0.4826,                0.33512,                 0.8402,             0.00034674,             0.00034674,             0.00034674
                     43,                0.44656,                0.28554,                0.82602,                0.91901,                0.91121,                0.96137,                0.75778,                 0.4688,                0.32532,                0.83583,             0.00031373,             0.00031373,             0.00031373
                     44,                0.44797,                0.28517,                0.82679,                 0.9089,                0.91466,                0.95898,                0.75261,                0.47414,                0.33092,                0.83705,             0.00028072,             0.00028072,             0.00028072
